category,word
D,the
D,a
D,every
D,some
D,this
D,that
D,these
D,those
D,no
D,each
D,any

N,dog
N,cat
N,man
N,woman
N,child
N,person
N,teacher
N,student
N,doctor
N,artist
N,friend
N,enemy
N,scientist
N,engineer
N,philosopher
N,king
N,queen
N,soldier
N,farmer
N,driver
N,city
N,village
N,house
N,room
N,building
N,school
N,office
N,garden
N,park
N,forest
N,river
N,road
N,bridge
N,table
N,chair
N,book
N,letter
N,computer
N,phone
N,screen
N,window
N,door
N,key
N,box
N,bottle
N,knife
N,tool
N,food
N,meal
N,drink
N,idea
N,plan
N,story
N,problem
N,solution
N,question
N,answer
N,truth
N,lie
N,secret
N,game
N,machine
N,system

V,see
V,hear
V,watch
V,notice
V,find
V,lose
V,like
V,love
V,hate
V,admire
V,fear
V,trust
V,help
V,follow
V,lead
V,meet
V,call
V,tell
V,ask
V,answer
V,give
V,take
V,bring
V,send
V,build
V,break
V,fix
V,open
V,close
V,hold
V,drop
V,move
V,push
V,pull
V,carry
V,create
V,destroy
V,change
V,control
V,use
V,study
V,learn
V,teach
V,work
V,play
V,win
V,lose
V,wait
V,leave
V,arrive
V,stay
V,run
V,walk
V,sit
V,stand
V,sleep
V,wake
V,think
V,believe
V,know
V,forget

A,big
A,small
A,large
A,tiny
A,long
A,short
A,tall
A,wide
A,narrow
A,old
A,new
A,young
A,ancient
A,modern
A,good
A,bad
A,better
A,worse
A,kind
A,cruel
A,smart
A,stupid
A,brave
A,cowardly
A,strong
A,weak
A,fast
A,slow
A,quiet
A,loud
A,clear
A,confusing
A,simple
A,complex
A,red
A,blue
A,green
A,black
A,white
A,dark
A,bright
A,empty
A,full
A,open
A,closed
A,safe
A,dangerous
A,true
A,false
A,strange
A,familiar
A,real
A,fake

P,with
P,without
P,on
P,off
P,in
P,out
P,under
P,over
P,above
P,below
P,near
P,far
P,inside
P,outside
P,around
P,through
P,across
P,before
P,after
P,during
P,between
P,among
P,behind
P,beside
P,against
P,for
P,from
P,to
P,of
P,about

Adv,quickly
Adv,slowly
Adv,silently
Adv,loudly
Adv,carefully
Adv,carelessly
Adv,happily
Adv,sadly
Adv,angrily
Adv,calmly
Adv,easily
Adv,hardly
Adv,nearly
Adv,almost
Adv,already
Adv,still
Adv,always
Adv,never
Adv,often
Adv,sometimes
Adv,rarely
Adv,now
Adv,then
Adv,today
Adv,yesterday
Adv,tomorrow
Adv,here
Adv,there
Adv,everywhere
Adv,nowhere